t,query_p,query_q,query_r
11.249999999999805,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.279999999999804,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.309999999999803,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.339999999999803,0x1.b560fd0286048p-4,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.369999999999802,-0x1.0e140b246cf96p-3,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.399999999999801,-0x1.0e140b246cf96p-3,0x1.1c9b5b9a95172p-3,-0x1.622bd2cfd7be4p-3
11.4299999999998,-0x1.0e140b246cf96p-3,0x1.1c9b5b9a95172p-3,0x1.8ebc4ef2461d8p-4
11.4599999999998,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.4899999999998,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.519999999999799,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.549999999999798,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.579999999999798,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.609999999999797,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.639999999999796,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.669999999999796,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.699999999999795,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.729999999999794,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
