t_cmd,cmd_thrust,cmd_phi,cmd_theta,cmd_psi
4.559999999999947,0x1.7650271f15b67p+15,-0x1.8cb813b000000p+4,0x1.662b40f000000p+8,-0x1.2ae87aad00000p+7
4.589999999999947,0x1.7641c01407defp+15,0x1.41fefe6000000p+5,0x1.669c2b3000000p+5,0x1.044f42e100000p+6
4.619999999999946,0x1.7632269d7a7a2p+15,-0x1.0d7eb13000000p+5,0x1.6f148d7000000p+7,-0x1.4af26ceb00000p+7
4.649999999999945,0x1.76216f8ec7e36p+15,0x1.32d68e3000000p+5,0x1.621f492000000p+3,0x1.ee015cd000000p+6
4.679999999999945,0x1.760fa6bf841aep+15,-0x1.21bcd23000000p+5,0x1.c9b809a000000p+6,-0x1.aaa7a5e800000p+6
4.709999999999944,0x1.75fcf109d2aabp+15,0x1.240b160000000p+5,-0x1.0d496bb000000p+4,0x1.8c57cf5a00000p+6
4.739999999999943,0x1.75e96e4d689e3p+15,-0x1.13c5b7a000000p+5,0x1.3c86479000000p+6,-0x1.35337e2700000p+6
4.769999999999943,0x1.75d537d5e7e60p+15,0x1.16b4e21000000p+5,-0x1.de6248c000000p+4,0x1.3590beb600000p+6
4.799999999999942,0x1.75c06de9ae1f0p+15,-0x1.fc4a058000000p+4,0x1.d71ed2e000000p+5,-0x1.f99608de00000p+5
4.8299999999999415,0x1.75ab329cbf9b2p+15,0x1.02b698d000000p+5,-0x1.17e8176000000p+5,0x1.ee9a06d800000p+5
4.859999999999941,0x1.7595aacc89158p+15,-0x1.cb07a22000000p+4,0x1.758b3d7000000p+5,-0x1.bb51b53c00000p+5
4.88999999999994,0x1.757ff377d07b6p+15,0x1.dc848cc000000p+4,-0x1.1edfaab000000p+5,0x1.9b3614a000000p+5
4.9199999999999395,0x1.756a2352b69b2p+15,-0x1.9c4c796000000p+4,0x1.33b84b4000000p+5,-0x1.8ba1008600000p+5
4.949999999999939,0x1.75545cc64b6f5p+15,0x1.b99ed26000000p+4,-0x1.18265a7000000p+5,0x1.6362970b00000p+5
4.979999999999938,0x1.753ec383e951dp+15,-0x1.7c67e7b000000p+4,0x1.0823803000000p+5,-0x1.6b7e12c600000p+5
5.009999999999938,0x1.75296aeec213ep+15,0x1.932300c000000p+4,-0x1.06752f4000000p+5,0x1.317efbcb00000p+5
5.039999999999937,0x1.751467121224cp+15,-0x1.58fb43d000000p+4,0x1.cd173ee000000p+4,-0x1.46a355ce00000p+5
5.069999999999936,0x1.74ffcf67ffc98p+15,0x1.730b977000000p+4,-0x1.ee50ef2000000p+4,0x1.10dcae9f00000p+5
5.099999999999936,0x1.74ebbc04c3ec0p+15,-0x1.31c96bc000000p+4,0x1.9b5d40c000000p+4,-0x1.27c6197f00000p+5
5.129999999999935,0x1.74d8446d33a93p+15,-0x1.d0517a8000000p+4,0x1.42c2162000000p+6,-0x1.7f3ecb4800000p+10
5.159999999999934,0x1.74c42f8053190p+15,0x1.6cc2bf6000000p+5,-0x1.cb96394000000p+6,-0x1.f61c12ca00000p+6
5.189999999999934,0x1.74b0df763bff6p+15,-0x1.4d785a7000000p+5,0x1.88c0c9a000000p+6,-0x1.019f9d4800000p+9
5.219999999999933,0x1.749f9e697491ap+15,0x1.a05e906000000p+5,-0x1.999ca50000000p+6,0x1.186df8e900000p+6
5.2499999999999325,0x1.748f4f42275bbp+15,0x1.8b7d2c1000000p+8,0x1.a7d67a6000000p+7,0x1.6052c8bf00000p+8
5.279999999999932,0x1.748012fd86af0p+15,0x1.337ac09000000p+8,0x1.3863329000000p+5,0x1.08241b1200000p+7
5.309999999999931,0x1.74726fa3394bep+15,0x1.513e0a1000000p+7,0x1.a4e2248000000p+6,-0x1.862bb67800000p+7
5.339999999999931,0x1.74675a33fe30ap+15,0x1.a138502000000p+6,-0x1.100ea31000000p+3,-0x1.1cf2c7fa00000p+6
5.36999999999993,0x1.745f5f6cca405p+15,0x1.611b965000000p+5,0x1.66e379e000000p+5,-0x1.a73726ae00000p+7
5.399999999999929,0x1.745adce08fe76p+15,0x1.360e23b000000p+5,-0x1.78cb2e0000000p+4,-0x1.3ac0485200000p+5
5.429999999999929,0x1.745a1532ea543p+15,0x1.0048bd8000000p+2,0x1.9eb74f4000000p+4,-0x1.fb43043400000p+6
5.459999999999928,0x1.745d2c466a6eep+15,0x1.2ab8201000000p+4,-0x1.7b69187000000p+4,-0x1.e6d7d31200000p-1
5.489999999999927,0x1.74642e115bb62p+15,-0x1.2cfa68b000000p+3,0x1.4a90a24000000p+4,-0x1.1a20ec1400000p+6
5.519999999999927,0x1.746f266faaf7ap+15,0x1.83bf723000000p+3,-0x1.41cd383000000p+4,0x1.072e885f00000p+4
5.549999999999926,0x1.747e1dcbd6333p+15,-0x1.a841eca000000p+3,0x1.30facf9000000p+4,-0x1.460b49fa00000p+5
5.5799999999999255,0x1.74911d8a7233cp+15,0x1.22dbdb7000000p+3,-0x1.05ab6ed000000p+4,0x1.620ec1f900000p+4
5.609999999999925,0x1.74a824f7601aap+15,-0x1.c014bd8000000p+3,0x1.21b6d0b000000p+4,-0x1.9f11d7d000000p+4
5.639999999999924,0x1.74c33828de7f7p+15,0x1.e521782000000p+2,-0x1.a39c082000000p+3,0x1.6d893ee700000p+4
5.6699999999999235,0x1.74e2568e95ab1p+15,-0x1.b7ae6c4000000p+3,0x1.1b1cbee000000p+4,-0x1.26de036f00000p+4
5.699999999999923,0x1.7505841441ac4p+15,0x1.8f3cd58000000p+2,-0x1.50604ae000000p+3,0x1.615519a700000p+4
5.729999999999922,0x1.752cc8dc57f01p+15,-0x1.ac08162000000p+3,0x1.0e264d0000000p+4,-0x1.c06b7d8200000p+3
5.759999999999922,0x1.7558261c65ebap+15,0x1.7da813c000000p+2,-0x1.1537bfc000000p+3,0x1.51c6f20300000p+4
5.789999999999921,0x1.7587a11f58dbdp+15,-0x1.9c3127a000000p+3,0x1.008c1df000000p+4,-0x1.5ab422cd00000p+3
5.81999999999992,0x1.75bb4050fd077p+15,0x1.019faa9000000p+6,-0x1.099e4da000000p+7,0x1.c0d5cb6000000p+10
5.84999999999992,0x1.75f143d837804p+15,-0x1.2955157000000p+8,0x1.fc49ca2000000p+7,0x1.82b520a600000p+7
